Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
964.0,957.55,13.32000000000005,2.4149929144155515,5.338076052636561,IT,Buy,37.0887338,7.577268195,1003,55.33399801,37.0887338,14.26021879
958.0,959.83,13.740000000000007,3.344312704522097,19.608973100227765,IT,Buy,38.15987934,11.08597285,1326,50.75414781,38.15987934,22.34877364
954.21,975.425,11.870000000000005,2.726208226742909,13.568787214217954,IT,Buy,36.16858238,10.72796935,1305,53.10344828,36.16858238,19.64146967
970.0,982.61,20.110000000000014,0.5447395839620168,9.648945976580023,IT,Buy,47.9390175,7.227555054,1771,44.83342744,47.9390175,24.41107621
975.64,992.115,11.0,4.69858226803941,6.444095525931351,IT,Buy,34.62804477,11.58657011,1519,53.78538512,34.62804477,19.81813359
993.24,991.935,17.851,2.977933349559523,16.80823902397548,IT,Buy,31.29525342,8.608205953,1243,60.09654063,31.29525342,10.52861392
996.67,993.135,8.80499999999995,0.7088049616563712,13.84558669853573,IT,Buy,33.64413364,6.993006993,1287,59.36285936,33.64413364,9.647096233
991.27,998.87,16.040000000000077,1.587127142231603,19.723641762145228,IT,Buy,36.01449275,11.08695652,1380,52.89855072,36.01449275,20.2053544
996.81,1004.97,6.740000000000009,4.1953948135869465,18.49974614355802,IT,Buy,40.16445288,9.044908286,1581,50.79063884,40.16445288,20.27121805
1007.0,1007.39,8.530000000000086,1.4598913918158545,10.87109558535558,IT,Sell,40.61538462,8.076923077,1300,51.30769231,40.61538462,18.78617937
1008.44,1007.36,7.090000000000032,1.9444586914730029,19.810715550750416,IT,Buy,32.78985507,7.971014493,1104,59.23913043,32.78985507,10.74883266
1005.59,1003.135,25.75999999999999,3.4160103902376093,19.154609593075516,IT,Buy,34.31034483,10.94827586,1160,54.74137931,34.31034483,18.22384515
1009.27,988.305,10.809999999999944,4.006549029943328,11.37179102168778,IT,Buy,36.0,10.18181818,1375,53.81818182,36.0,18.38058496
990.0,988.22,12.620000000000005,1.689747659713338,11.476712227909024,IT,Buy,32.90870488,9.624911536,1413,57.46638358,32.90870488,14.17547656
993.53,976.515,24.274999999999977,4.394759047302054,16.79479917163941,IT,Buy,31.81818182,8.8794926,946,59.30232558,31.81818182,11.59411562
986.73,972.45,14.850000000000025,4.597980474167507,17.03825118205808,IT,Buy,32.56150507,12.80752533,1382,54.63096961,32.56150507,20.19350432
969.0,975.455,18.200000000000045,3.6885706302030905,5.560006963563643,IT,Buy,34.01139138,8.543531326,1229,57.4450773,34.01139138,13.11540263
978.0,976.38,14.350000000000025,0.9648816964373396,11.651638807845648,IT,Buy,33.67071525,12.0782726,1482,54.25101215,33.67071525,19.84420905
980.33,1079.545,55.02999999999997,3.937699415164664,10.53133314116111,IT,Buy,39.20485919,10.87796797,3622,49.91717283,39.20485919,22.97774374
1058.14,1102.9299999999998,29.230000000000015,3.457802305281368,10.267476185058229,IT,Keep,36.37481554,9.41957698,4066,54.20560748,36.37481554,17.2309181
1095.01,1107.14,9.420000000000073,3.214310776788475,8.123503738802679,IT,Buy,30.21582734,16.54676259,1390,53.23741007,30.21582734,25.32630112
1109.0,1104.54,12.230000000000018,2.506572553694033,8.186616222582792,IT,Sell,32.86093888,8.060230292,1129,59.07883082,32.86093888,10.99834807
1105.4,1096.015,15.070000000000164,1.4569145166614532,8.41598682723913,IT,Buy,32.40223464,12.52992817,1253,55.06783719,32.40223464,19.47903958
1097.81,1101.375,24.16000000000008,3.747000027361584,11.690877258697997,IT,Buy,36.67883212,8.850364964,1096,54.47080292,36.67883212,16.39651064
1091.15,1114.9050000000002,16.6400000000001,2.443848883702572,11.410244111982925,IT,Buy,40.57239057,11.44781145,1188,47.97979798,40.57239057,25.48496207
1109.15,1123.955,13.099999999999907,2.2773043480349857,19.64883634002403,IT,Buy,38.04834378,7.341092211,1117,54.61056401,38.04834378,14.7474768
1124.74,1127.545,13.849999999999907,1.4024659617997388,5.856934197297237,IT,Buy,38.97637795,10.23622047,1016,50.78740157,38.97637795,21.4657675
1125.96,1125.725,7.690000000000055,1.1127013077844123,8.516451271771313,IT,Sell,28.59633827,9.677419355,1147,61.72624237,28.59633827,9.968125585
1126.1,1126.085,17.560000000000173,4.734874510441191,5.946937656531228,IT,Buy,37.64961915,10.77257889,919,51.57780196,37.64961915,21.21172553
1123.0,1133.475,14.1099999999999,3.3418384288519776,10.233061081801113,IT,Sell,39.64879852,7.948243993,1082,52.40295749,39.64879852,17.5622351
1130.11,1126.85,10.11999999999989,3.3338559853781127,12.19823014371248,IT,Buy,37.57575758,7.196969697,1320,55.22727273,37.57575758,13.98664557
1127.01,1133.725,8.110000000000127,4.642757424889235,16.64133387590028,IT,Buy,49.22349764,9.047940581,1481,41.72856178,49.22349764,29.3363274
1130.16,1134.08,12.990000000000007,4.798279949007348,13.960344807492994,IT,Buy,34.95883471,7.663077897,1579,57.3780874,34.95883471,12.3019391
1138.28,1128.04,10.870000000000118,2.4720770298706025,9.064936473334818,IT,Buy,41.15555556,12.17777778,1125,46.66666667,41.15555556,27.52805971
1129.77,1136.175,11.799999999999956,1.7401618650835862,8.516679560061796,IT,Buy,32.51028807,9.053497942,243,58.43621399,32.51028807,12.63423255
1132.86,1148.58,19.269999999999985,1.4019594420017916,17.34442178621403,IT,Buy,37.02848345,10.23864511,1299,52.73287144,37.02848345,19.52272227
1141.0,1173.35,26.139999999999876,3.433015948971873,19.192888017445,IT,Buy,30.84648494,8.823529412,1394,60.32998565,30.84648494,10.51049236
1160.7,1199.245,22.25999999999999,4.352047893570437,5.610355592655106,IT,Buy,45.44568924,17.04822211,2053,37.50608865,45.44568924,41.55908206
1202.66,1199.24,16.819999999999936,2.514993307301678,6.855937640577916,IT,Buy,35.19337017,11.71270718,1810,53.09392265,35.19337017,20.63573313
1204.88,1178.035,49.6099999999999,0.6421588916994603,12.286260958043878,IT,Buy,41.24137931,11.37931034,1450,47.37931034,41.24137931,26.0169486
1194.8,1171.925,18.569999999999936,1.999517146034418,5.643010761528696,IT,Buy,44.53618261,11.1704711,2059,44.29334628,44.53618261,28.89407342
1167.1,1167.1999999999998,27.65000000000009,2.9174822016651527,18.6782888175699,IT,Buy,34.74952441,11.85795815,1577,53.39251744,34.74952441,20.48238931
1172.05,1153.9,47.200000000000045,1.403879020755698,14.587809904847202,IT,Buy,37.7254902,12.39215686,1275,49.88235294,37.7254902,24.52675252
1173.85,1134.915,34.52999999999997,2.9106189152936803,13.854807169541068,IT,Buy,29.93680885,15.79778831,3798,54.26540284,29.93680885,23.54933407
1128.26,1145.17,19.810000000000173,2.891868768373898,14.03868062812458,IT,Sell,35.41076487,10.19830028,4236,54.39093484,35.41076487,17.82431404
